company,week_start,orders,canceled,total_qty,gmv_idr,cod_orders,jubelio_shipment_orders,orders_shopee,orders_tokopedia,orders_lazada,orders_other
Company_H,2025-09-08,14109,974,18553,4467473806,2820,0,5258,7454,64,1333
Company_H,2025-09-15,13271,1891,15701,3509955382,2505,0,3703,8346,30,1192
Company_H,2025-09-22,20909,969,26916,6230535031,3361,0,7676,11958,83,1192
Company_H,2025-09-29,14798,1198,18996,3918560891,2433,0,6252,7180,59,1307
Company_H,2025-10-06,16723,1716,20539,3885181497,2787,0,8895,6324,59,1445
Company_H,2025-10-13,13928,1230,20599,4225629157,2314,0,6475,5556,51,1846
Company_H,2025-10-20,15310,1396,21375,4961027150,2402,0,7043,6327,81,1859
Company_H,2025-10-27,15346,1152,20365,4675758882,2661,0,6514,7051,82,1699
Company_H,2025-11-03,15677,1266,20343,4957333558,2902,0,5793,8206,50,1628
Company_H,2025-11-10,20025,1370,24486,5648490219,3551,0,8746,9441,183,1655
Company_H,2025-11-17,16597,934,20619,5212441845,2837,0,6888,8014,46,1649
Company_H,2025-11-24,18462,1117,24209,6355381374,2849,0,8983,7706,62,1711
Company_H,2025-12-01,16848,1742,20814,5262822294,2582,4,6522,8129,74,2123
Company_H,2025-12-08,25033,2425,30755,7350374255,3896,1,12229,10478,142,2184
Company_H,2025-12-15,17996,1448,23117,5829831359,2879,2,6834,9014,73,2075
Company_H,2025-12-22,19391,1370,24381,6212333460,2759,0,7106,10154,62,2069
Company_H,2025-12-29,10654,787,12977,3394190418,1484,3,4714,4801,50,1089
Company_G,2024-01-01,12532,44,16226,1777903119,3948,0,10989,995,504,44
Company_G,2024-01-08,8138,46,10367,1201759203,2491,0,6877,903,331,27
Company_G,2024-01-15,8169,25,10668,1245530102,2296,0,6613,1187,333,36
Company_G,2024-01-22,13905,75,17654,1890562000,4308,0,11531,1758,588,28
Company_G,2024-01-29,17108,86,23032,2371692321,4841,0,13879,2365,821,43
Company_G,2024-02-05,12250,47,15795,1778328103,4109,0,10129,1429,669,23
Company_G,2024-02-12,13470,112,17450,1923505116,5124,0,10468,2258,717,27
Company_G,2024-02-19,15208,106,19360,2087979312,5133,0,11811,2324,1036,37
Company_G,2024-02-26,34688,398,46481,4846784138,10674,0,27231,5881,1534,42
Company_G,2024-03-04,27052,335,36056,4218992224,9580,0,19731,5468,1821,32
Company_G,2024-03-11,63629,1111,89893,10386418131,22373,0,45691,15044,2836,58
Company_G,2024-03-18,154098,2092,216302,20574375063,49293,0,125143,24157,4734,64
Company_G,2024-03-25,141833,2991,191922,20977982384,47043,0,107477,26641,7634,81
Company_G,2024-04-01,100079,2890,127399,13063388392,36642,0,74760,19730,5521,68
Company_G,2024-04-08,4434,94,5482,701730074,1762,0,3421,517,471,25
